"KU165: SPORDIALADE (V.A OLÜMPIAALADE) HARRASTAJAD | Maakond, Spordiala, Sugu, Vanuserühm ning Aasta"

"Maakond","Spordiala","Sugu","Vanuserühm","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Kogu Eesti","Aeroobika ja rühmatreeningud","Mehed ja naised","Kõik vanused",8150,5001,6559,10241,6670,11331,8097,13203,15596,15570,19597,12070,14124,18772,18346
"Kogu Eesti","Aeroobika ja rühmatreeningud","Mehed ja naised","20-aastased ja vanemad",6504,4226,5614,8946,6068,10413,7453,12475,14155,14006,17732,10575,11520,16615,16421
"Kogu Eesti","Aeroobika ja rühmatreeningud","Mehed ja naised","19-aastased ja nooremad",1646,775,945,1295,602,918,644,728,1441,1564,1865,1495,2604,2157,1925
"Kogu Eesti","Aeroobika ja rühmatreeningud","Mehed","Kõik vanused",933,432,1027,1564,1014,2152,1657,1964,4107,3809,5164,2309,2178,2666,2103
"Kogu Eesti","Aeroobika ja rühmatreeningud","Mehed","20-aastased ja vanemad",778,402,895,1508,885,1969,1499,1789,3775,3540,4555,1963,1665,2330,1624
"Kogu Eesti","Aeroobika ja rühmatreeningud","Mehed","19-aastased ja nooremad",155,30,132,56,129,183,158,175,332,269,609,346,513,336,479
"Kogu Eesti","Aeroobika ja rühmatreeningud","Naised","Kõik vanused",7217,4569,5532,8677,5656,9179,6440,11239,11489,11761,14433,9761,11946,16106,16243
"Kogu Eesti","Aeroobika ja rühmatreeningud","Naised","20-aastased ja vanemad",5726,3824,4719,7438,5183,8444,5954,10686,10380,10466,13177,8612,9855,14285,14797
"Kogu Eesti","Aeroobika ja rühmatreeningud","Naised","19-aastased ja nooremad",1491,745,813,1239,473,735,486,553,1109,1295,1256,1149,2091,1821,1446
"Kogu Eesti","Aikido","Mehed ja naised","Kõik vanused",131,265,304,439,356,288,318,318,220,212,199,103,110,123,116
